IE;85,59;8;89,86;5;77;7;80,45;18;86,61;6;94,05;9;
IL;53,23;101;56,34;60;58,33;39;49,04;127;60,42;94;42,02;137;
NZ;79,72;19;85,36;13;72,08;12;71,15;54;79,76;29;90,24;32;
MV;52,36;106;43,48;109;36,04;133;54,42;111;48,1;131;79,76;80;
US;66,59;55;69,03;29;61,07;33;74,49;41;72,06;54;56,31;118;
RS;54,48;98;33,07;140;36,46;130;70,32;56;53,57;115;78,97;85;
KZ;41,11;142;30,33;148;35,42;137;37,91;148;50,85;123;51,02;125;
AU;73,42;39;74,43;25;64,58;27;69,23;60;70,41;59;88,44;47;
BW;59,78;79;49,9;80;42,56;97;57,28;103;69,56;61;79,59;82;
SO;39,4;145;35,99;129;42,01;103;35,58;155;44,84;139;38,56;146;
ZA;73,73;38;72,57;27;58,78;38;80,29;19;82,06;25;74,95;94;
RU;29,86;162;19,88;166;33,72;148;31,43;157;37,28;149;27;168;
PE;47,76;125;39,44;121;39,29;118;58,1;98;53,23;117;48,73;128;
CT;56,72;90;46,9;96;42,61;96;56,12;108;53,25;116;84,74;63;
LT;81,73;13;80,84;17;70,72;15;81,41;15;83,6;15;92,1;23;
SD;35,73;149;32,87;141;32,66;152;37,64;149;46,09;138;29,39;161;
PA;58,55;83;41,18;113;49,83;58;55,13;110;64,68;77;81,94;76;
SA;27,14;166;21,01;161;40,36;111;20,43;173;30,06;163;23,84;173;
IN;31,28;159;21,58;159;31,67;157;40,87;143;33,33;156;28,97;162;
CY;63,14;65;55,8;61;47,44;73;67,9;66;55,4;111;89,19;42;
PY;50,48;115;40,9;114;34,95;139;64,42;78;56,88;108;55,27;119;
GM;65,53;58;57,56;57;48,51;66;60,71;93;76,87;37;84,01;65;
TL;78,92;20;76,09;22;65,36;23;73,08;45;85,71;9;94,35;8;
GW;55,95;92;48,26;88;39,38;116;61,92;88;54,05;114;76,13;92;
DJ;30,14;161;24,12;156;26,74;169;30,63;161;29,08;168;40,13;143;
TJ;33,31;155;27,26;153;31,64;159;38,34;147;30,21;161;39,1;145;
GT;42,28;138;33,57;138;38,13;120;57,24;104;46,67;137;35,78;151;
PS;31,92;157;31,04;146;33,51;149;39,1;146;35,52;155;20,44;175;
KR;64,87;62;51,11;77;54,9;46;69,51;59;61,77;89;87,04;55;
RW;40,54;144;35,65;131;32,08;156;54,42;111;50;126;30,56;160;
PK;33,9;152;29,17;151;33,73;147;42,97;138;37,73;148;25,88;169;
ET;41,37;141;33,9;136;41,2;107;50;124;47,62;135;34,13;156;
BA;58,85;81;44,53;104;40,34;112;67,4;71;58,87;100;83,12;70;
NA;74,16;34;65,46;45;63,37;29;77,08;35;75;43;89,88;34;
NE;59,71;80;54,35;68;44,58;87;67,69;68;67,5;68;64,42;107;
